LocationID,zone,borough,centroid_x_ft,centroid_y_ft
155,Marine Park/Mill Basin,Brooklyn,1007772.0738281447,163199.94683747904
156,Mariners Harbor,Staten Island,937831.3979162237,169323.09568295578
157,Maspeth,Queens,1011322.0566226967,203062.4826546542
158,Meatpacking/West Village West,Manhattan,981760.1630105713,207069.85524833892
159,Melrose South,Bronx,1008372.3431908386,237403.26520681937
160,Middle Village,Queens,1017500.3337741544,201008.74807179213
161,Midtown Center,Manhattan,990428.5259896307,215447.5272238999
162,Midtown East,Manhattan,991908.5895674427,214959.58164218976
163,Midtown North,Manhattan,990463.795428988,217776.8824467348
164,Midtown South,Manhattan,988362.8334340784,212002.8930353048
165,Midwood,Brooklyn,996235.9681389848,165498.62894479543
166,Morningside Heights,Manhattan,994834.7872520887,234186.32687196054
167,Morrisania/Melrose,Bronx,1011274.1031226959,240777.45048576684
168,Mott Haven/Port Morris,Bronx,1007276.6552615912,233426.3105324531
169,Mount Hope,Bronx,1010498.8966190435,248626.50066243423
170,Murray Hill,Manhattan,990209.6000628374,211701.31598082214
171,Murray Hill-Queens,Queens,1037005.2460888406,219265.3323757285
172,New Dorp/Midland Beach,Staten Island,955074.2840251907,147604.72249648834
173,North Corona,Queens,1022197.0870794882,213491.23352727934
174,Norwood,Bronx,1017705.6853734129,258865.7027684768
175,Oakland Gardens,Queens,1052245.0396528484,209946.98083085933
176,Oakwood,Staten Island,950189.7218166704,144049.90028972382
177,Ocean Hill,Brooklyn,1008206.4863890352,185807.86876281534
178,Ocean Parkway South,Brooklyn,992488.3342133338,164182.16421057793
179,Old Astoria,Queens,1004100.5532690155,220388.74304964437
180,Ozone Park,Queens,1026677.5797670257,185450.9313015704
181,Park Slope,Brooklyn,989405.7462570233,183512.26606607973
182,Parkchester,Bronx,1023546.119587586,244523.60478563712
183,Pelham Bay,Bronx,1030844.6058195011,248698.68510461092
184,Pelham Bay Park,Bronx,1037392.6993443047,255671.99997375158
185,Pelham Parkway,Bronx,1024530.253226401,250593.7529909568
186,Penn Station/Madison Sq West,Manhattan,986345.3986002826,211974.4462185278
187,Port Richmond,Staten Island,945169.9571906623,168165.56998958567
188,Prospect-Lefferts Gardens,Brooklyn,998832.3808815881,179279.21937230643
189,Prospect Heights,Brooklyn,993240.614955927,186158.9037665277
190,Prospect Park,Brooklyn,992874.5690419332,180324.5504799387
191,Queens Village,Queens,1055901.6290823095,200041.33384002006
192,Queensboro Hill,Queens,1035449.7277922152,210299.49328933546
193,Queensbridge/Ravenswood,Queens,1000318.472670304,216284.73388039833
194,Randalls Island,Manhattan,1005129.3426640312,227468.71626549485
195,Red Hook,Brooklyn,981704.0643999975,185397.13097034313
196,Rego Park,Queens,1022128.7689962148,203864.0366646339
197,Richmond Hill,Queens,1031135.2530614034,192362.21698940895
198,Ridgewood,Queens,1011501.4868419537,196698.5440140335
199,Rikers Island,Bronx,1016742.2005018429,227529.739801434
200,Riverdale/North Riverdale/Fieldston,Bronx,1009963.380626541,267014.19025513734
201,Rockaway Park,Queens,1027736.5213465618,149890.0851612248
202,Roosevelt Island,Manhattan,998114.2657032622,216861.1622839399
203,Rosedale,Queens,1056534.4426593746,179057.24700605904
204,Rossville/Woodrow,Staten Island,926485.9389779267,136202.98565093428
205,Saint Albans,Queens,1049933.6363755297,191188.33726990796
206,Saint George/New Brighton,Staten Island,955854.2052995249,172088.0923870011
207,Saint Michaels Cemetery/Woodside,Queens,1012130.8105776807,217633.29938204153
208,Schuylerville/Edgewater Park,Bronx,1033088.7374263026,239283.26241461936
209,Seaport,Manhattan,983234.0457177354,197610.8235766767
